"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"5d44698b","Dulces y demas","2025-08-16 08:07:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"5d765e94","Mezclas","2025-01-11 14:40:00","SALIDAS","$0.00","$0.00",NULL,NULL
"5e28c87c","Cintas","2025-05-16 14:22:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"5f109d7e","Mezclas","2025-05-10 14:34:00","SALIDAS","$0.00","$0.00",NULL,NULL
"5f20a4b5","Icopores","2025-11-28 14:49:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"5f2a7e4e","Mezclas","2025-10-08 16:55:00","SALIDAS","$0.00","$0.00",NULL,NULL
"5f673871","Mezclas","2024-12-09 13:40:00","SALIDAS","$0.00","$0.00",NULL,NULL
"60935d4c","Mezclas","2025-05-08 14:22:00","SALIDAS","$0.00","$0.00",NULL,NULL
"60b830a0","Mezclas y gomas","2026-01-08 12:52:00","SALIDAS","$0.00","$0.00",NULL,NULL
"60f37977","Insumos que no hay","2025-11-01 08:02:00","SALIDAS","$0.00","$0.00",NULL,NULL
"61892179","Pitillos","2025-04-17 08:27:00","ENTRADAS","$25,000.00","$200.00",NULL,NULL
"621918f3","Gomas","2026-01-03 10:51:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"6256ab99","Dulces","2025-03-20 07:42:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"636779cd","Mezclas","2025-01-17 14:45:00","SALIDAS","$0.00","$0.00",NULL,NULL
"63796173","Mezclas","2025-03-30 12:50:00","SALIDAS","$0.00","$0.00",NULL,NULL
"64a6897a","Mezclas","2025-01-24 14:42:00","SALIDAS","$0.00","$0.00",NULL,NULL
"64f2da15","Dulces","2025-10-03 09:20:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"66f2991a","Mezclas","2025-04-18 14:44:00","SALIDAS","$0.00","$0.00",NULL,NULL
"66fb943b","Mezclas","2025-12-31 17:03:00","SALIDAS","$0.00","$0.00",NULL,NULL
"67014f3d","Dulces y vasos","2025-04-16 10:48:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"67727ee2","Mezclas","2025-02-14 15:34:00","SALIDAS","$0.00","$0.00",NULL,NULL
"68a3ceda","Mezclas","2025-03-27 14:24:00","SALIDAS","$0.00","$0.00",NULL,NULL
"695d6fe6","Vasos y pitillos","2024-12-15 15:22:00","ENTRADAS","$72,280.00","$200.00",NULL,NULL
"69fb7d4c","Perlas explosivas","2025-06-21 11:03:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"6a3a060f","Vasos y demas","2025-06-14 09:44:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"6a7e9e83","Mezclas","2025-05-30 14:33:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6b1c98e6","Mezclas","2025-10-10 13:01:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6b56483f","Boli pop y vasos","2025-05-23 18:32:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"6b89161e","Mezclas","2025-09-21 11:10:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6be8e08e","Mezclas","2025-10-05 17:19:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6bf5acec","Mezclas","2025-11-07 13:10:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6c7025ac","Mezclas","2024-11-01 15:05:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6cad2e99","Mezclas","2025-10-22 17:25:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6d7e9ff6","Mezclas","2025-08-16 14:28:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6def236b","Mezclas","2025-03-09 13:07:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6e1e9afb","Vasos 12 y 16","2025-07-30 16:25:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"6eb6fb3c","Mezclas","2025-06-07 14:29:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6fd121ec","Mezclas","2024-12-15 13:50:00","SALIDAS","$0.00","$0.00",NULL,NULL
"6ffb2171","Mezclas que ya no hay","2025-07-21 12:14:00","SALIDAS","$0.00","$0.00",NULL,NULL
"708b1b51","Gomas","2024-11-28 18:09:00","ENTRADAS","$486,800.00","$4.00",NULL,NULL
"70f2608d","Mezclas","2024-12-10 14:08:00","SALIDAS","$0.00","$0.00",NULL,NULL
"71041c9d","Mezclas","2025-10-18 13:02:00","SALIDAS","$0.00","$0.00",NULL,NULL
"7116059b","Vasos pitillo y demás","2025-06-20 08:15:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"714f6e84","Oka loca y vasos","2025-06-06 14:03:00","ENTRADAS","$0.00","$0.00",NULL,NULL
