"IDalimentos","Categoria","Nombre","Unidades","Cantidad","imagen","fecha de vencimiento","NombreCategoria","Precio","Total","Agregar Cantidad","Fecha","Descontar cant de ventas?","Notificar a whatsapp","apartir de cantidad","Enviar si o no","Disponible","Contador","Image Url","Llevar control en caja","Contador 2","imagencard","createdAt","updatedAt"
"77afc059","d30a10d9","Fruna Mini aros X100","Bolsa X100",64,"INSUMOS_Images/77afc059.imagen.062324.jpg",NULL,NULL,"$6,813.00","$327,024.00",NULL,"2026-01-09","NO","NO",NULL,"NO ENVIAR","Disponible: 18",NULL,NULL,"NO",NULL,"",NULL,NULL
"78b8732a","4ff5b09a","Vasos de 13 onz","25 Unidades",24,"INSUMOS_Images/78b8732a.imagen.050727.png",NULL,NULL,"$3,000.00","$72,000.00",NULL,"2025-05-14","NO","NO",NULL,"NO ENVIAR","Disponible: 3",3,NULL,"SI",NULL,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F78b8732a_20250514_180154.png",NULL,NULL
"7a27a562","4ff5b09a","Bolsa T30","X1000",3,"",NULL,NULL,"$6,500.00","$19,500.00",NULL,"2025-12-22","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,"",NULL,NULL
"7e7b5b8d","d30a10d9","Paletas corazon x50","Bolsa X50",913,"INSUMOS_Images/7e7b5b8d.imagen.151705.jpg","2023-04-03",NULL,"$4,790.00","$4,373,270.00",6,"2026-01-09","NO","SI",3,"NO ENVIAR","Disponible: 27",622,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/7e7b5b8d.imagen.151705.jpg","NO",167,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F7e7b5b8d_20250830_094419.png",NULL,NULL
"8021d230","d30a10d9","Tajin","142 Gr",9,"INSUMOS_Images/8021d230.imagen.163342.jpg",NULL,NULL,"$14,200.00","$127,800.00",NULL,"2025-10-29","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"811babd8","0d04f633","Frutal de coco","BOLSA DE 3100 GR",0,"",NULL,NULL,"$32,000.00","$0.00",NULL,"2025-02-11","NO","NO",1,"ENVIAR","Disponible: 0",NULL,"","NO",2,NULL,NULL,NULL
"8979ada5","0a665a65","Chivas Regal","50mL",5,"INSUMOS_Images/8979ada5.imagen.202432.jpg",NULL,NULL,"$14,000.00","$70,000.00",-4,"2025-09-05","SI","NO",NULL,"NO ENVIAR","Disponible: 0",2,NULL,"SI",2,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F8979ada5_20250823_182834.png",NULL,NULL
"8afdc4b7","0d04f632","Crema de baylies sweet","TARRO 6L",4,"",NULL,NULL,"$43,200.00","$172,800.00",NULL,"2025-05-12","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"91be58b7","0d04f633","Pasión púrpura sin licor","TARRO 6L",97,"",NULL,NULL,"$28,000.00","$2,716,000.00",-16,"2025-12-19","NO","NO",NULL,"NO ENVIAR","Disponible: 16",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"937c0fa5","4ff5b09a","Pitillos","Unidad",50728,"INSUMOS_Images/937c0fa5.imagen.141845.jpg",NULL,NULL,"$53.00","$2,688,584.00",450,"2026-04-30","SI","SI",200,"NO ENVIAR","298",17844,"","NO",19,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F937c0fa5_20251031_160456.png",NULL,NULL
"943208db","d30a10d9","Glaseado maracuyá","BOLSA X250g",1,"",NULL,NULL,"$9,000.00","$9,000.00",NULL,"2025-06-12","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,NULL,"NO",NULL,"",NULL,NULL
"9548d179","0d04f632","Coco de rumba","TARRO 6L",0,"",NULL,NULL,"$32,000.00","$0.00",NULL,"2026-01-07","NO","NO",NULL,"NO ENVIAR","Disponible: 0",NULL,NULL,"NO",NULL,"",NULL,NULL
"96ad2e7c","d30a10d9","Gusanos trululu X100","PAQUETES X100",0,"INSUMOS_Images/96ad2e7c.imagen.010942.jpg",NULL,NULL,"$182,400.00","$0.00",1,"2025-02-11","NO","NO",2,"ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/96ad2e7c.imagen.010942.jpg",NULL,NULL,NULL,NULL,NULL
"9c74a1fb","d30a10d9","Cintas acidas x72","TARRO X72",6,"INSUMOS_Images/9c74a1fb.imagen.163506.jpg","2023-04-03",NULL,"$15,000.00","$90,000.00",13,"2025-02-11","NO","NO",3,"ENVIAR","Disponible: 0",39,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/9c74a1fb.imagen.163506.jpg","NO",19,NULL,NULL,NULL
