"IDalimentos","Categoria","Nombre","Unidades","Cantidad","imagen","fecha de vencimiento","NombreCategoria","Precio","Total","Agregar Cantidad","Fecha","Descontar cant de ventas?","Notificar a whatsapp","apartir de cantidad","Enviar si o no","Disponible","Contador","Image Url","Llevar control en caja","Contador 2","imagencard","createdAt","updatedAt"
"35dbe1bc","0a665a65","Jack Daniels","50mL",3,"INSUMOS_Images/35dbe1bc.imagen.202243.jpg",NULL,NULL,"$11,000.00","$33,000.00",3,"2025-08-17","SI","NO",NULL,"NO ENVIAR","Disponible: 1",1,NULL,"SI",1,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F35dbe1bc_20250817_180922.png",NULL,NULL
"35eef416","d30a10d9","Perlas explosivas bubols","1.100 kg",1,"",NULL,NULL,"$38,500.00","$38,500.00",NULL,"2025-06-28","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,"",NULL,NULL
"39c238a0","d30a10d9","Franki trululu x11","Paquete x11",21,"INSUMOS_Images/39c238a0.imagen.204619.jpg",NULL,NULL,"$2,000.00","$42,000.00",NULL,"2025-10-31","NO","NO",NULL,"NO ENVIAR","Disponible: 6",NULL,NULL,"NO",NULL,"",NULL,NULL
"43e94c32","4ff5b09a","Bolsa de basura",NULL,12,"",NULL,NULL,"$2,700.00","$32,400.00",NULL,"2025-12-22","NO","NO",NULL,"NO ENVIAR","Disponible: 3",NULL,NULL,"NO",NULL,"",NULL,NULL
"442e96cd","d30a10d9","Sandia Perlas explosivas 480g","480 gr",0,"INSUMOS_Images/442e96cd.imagen.140537.jpg",NULL,NULL,"$19,000.00","$0.00",NULL,"2025-02-11","NO","NO",2,"ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/442e96cd.imagen.140537.jpg",NULL,NULL,NULL,NULL,NULL
"485cb7d3","0d04f632","Four loko gold","TARRO 6L",73,"",NULL,NULL,"$32,000.00","$2,336,000.00",4,"2025-12-25","NO","NO",2,"NO ENVIAR","Disponible: 4",10,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",23,NULL,NULL,NULL
"48cd95a1","0d04f632","Mojitik","TARRO 6L",44,"",NULL,NULL,"$32,000.00","$1,408,000.00",NULL,"2026-01-08","NO","NO",NULL,"NO ENVIAR","Disponible: 8",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"4b5804e8","d30a10d9","Tajín 400gr","400 gr",6,"INSUMOS_Images/4b5804e8.imagen.195934.jpg",NULL,NULL,"$26,300.00","$157,800.00",NULL,"2025-12-29","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,"",NULL,NULL
"5184faf6","d30a10d9","Gusanos Grisly X200","TARRO X200",0,"INSUMOS_Images/5184faf6.imagen.163425.jpg","2023-04-03",NULL,"$17,500.00","$0.00",12,"2025-02-11","NO","NO",2,"ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/5184faf6.imagen.163425.jpg",NULL,NULL,NULL,NULL,NULL
"5243aeda","4ff5b09a","Palillo el sol","Unidad",6,"",NULL,NULL,"$700.00","$4,200.00",2,"2025-09-25","NO","NO",NULL,"NO ENVIAR","Disponible: 6",NULL,NULL,"NO",NULL,"",NULL,NULL
"545b38b1","0d04f633","Mango Maduro","TARRO 6L",14,"",NULL,NULL,"$28,000.00","$392,000.00",NULL,"2025-04-05","NO","NO",NULL,"NO ENVIAR","Disponible: 8",NULL,NULL,"NO",NULL,NULL,NULL,NULL
