IDorderventas;IDventas;Categoria;Nombre;Cantidad;Precio;Precio total;Estado;Comentarios;Imagen;fecha;SALSA;HELADO;TOPINGS;CategoriaProducto;ImagenUrl;NombreProducto;createdAt;productoId;updatedAt;usuarioId
cmomkijk3002haupgxzrcadxc;cmomkij4j002faupgggeryavx;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomkmt1y002laupgait0qvo5;cmomkmsh2002jaupga97bzeok;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomknmwb002paupgij6vouqd;cmomknmgx002naupgkwbxypwh;LO MAS VENDIDO;Shot de tequila;1;$5,000.00;$5,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/8a734bcd.Image.232649.jpg;Shot de tequila;NULL;8a734bcd;NULL;cmom4whz80000k0qnjs8qb3sc
cmomkt1no002taupgvd6d2vu8;cmomkt13b002raupg8725n3th;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomkz6er002xaupg1d9fgmoc;cmomkz5vq002vaupgaaepselq;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmoml12jk0031aupglzt1mztb;cmoml11yz002zaupgshfu5tf1;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmoml7psd0035aupg0e80e06a;cmoml7p7q0033aupg9oi1er4r;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmomlvxu80003j86uw51n8kz2;cmomlvx9q0001j86ucxqq95sg;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonip6c30003nus5oslyench;cmonip5pm0001nus54np4pj1v;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonjlr7w00031vdayx6ihlmc;cmonjlqlu00011vdackecdkpb;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
